PMID,Label
34902587,0
35451025,0
34859764,0
35143972,0
34872491,0
35268189,1
35179407,0
35049772,1
34977209,0
35336958,0
35123306,0
34996026,1
35208756,0
35443903,0
35249475,1
35059141,0
35205304,0
35189068,0
34868241,0
34901898,0
35434674,1
34850103,0
35180661,0
35341848,0
35411431,1
35215890,0
34974356,0
35089527,1
35303917,0
34985359,0
35178067,0
35203165,0
35205240,1
35034121,0
34960607,0
35257788,0
35100362,0
35324170,0
35183111,0
35126349,0
35109833,0
35271886,0
35425836,0
35339768,1
35395853,0
35049984,1
35063043,0
35034641,0
35428319,0
35181733,0
35445110,0
35018454,0
35441964,0
35158711,0
35131553,0
34899686,0
35249015,0
35410533,0
35308386,0
35130864,0
35175184,0
35167316,0
35276872,0
35317113,0
35386394,0
35061545,1
34914964,1
35282397,0
35052905,0
35173214,0
35163797,0
35327174,0
35433684,0
34851149,0
34909741,0
35350434,0
35122326,1
35101484,0
34872547,0
34902738,0
34875996,0
35155642,0
35369328,0
35441590,0
34922518,1
35011225,0
35122624,1
34963048,0
35024554,0
35296347,0
35146013,0
34878947,0
35090573,0
35449721,0
35111328,0
35273382,0
35019865,0
34951645,0
35186025,0
35369845,0
35022274,0
35061866,0
35079818,0
35396557,0
35020825,1
35401691,0
35378984,0
35322371,0
35216013,0
35154256,0
34852955,1
35159307,0
34935650,0
34996689,0
35289986,0
35252426,0
35234713,0
34879859,0
34983523,1
35178130,1
35016714,0
35458465,1
35325756,0
34896249,0
35436549,0
34967057,0
35327109,1
35142398,0
35000615,0
35410129,0
34864146,0
34979897,0
34977444,0
34957439,0
35413946,1
35405912,0
35074856,0
34961532,0
35202111,0
35033551,0
35169654,0
35098466,0
35450598,0
35287733,0
35336894,1
35078535,1
35158627,0
34988935,0
34867921,0
35168569,1
35448069,0
35176608,0
34993422,0
34933675,0
34949228,1
35401688,0
35281072,0
35366906,0
34941836,0
35265090,0
34929285,1
35454283,0
34899750,0
35454216,0
35053107,0
35022729,0
35230646,0
35056451,0
35385164,1
35182673,0
34917905,1
35234615,1
35388401,0
35378328,0
35238185,0
35203833,0
35232965,0
35320949,0
35327070,1
35451786,0
35330865,0
35391795,1
35392214,0
35296234,0
35203201,1
35233959,0
35415213,0
35256125,0
35233794,1
35325183,0
35405828,0
35430623,0
35431553,0
35231232,0
35431534,0
35441227,0
35205299,0
35342679,0
35263339,0
35297729,0
35309117,0
35439682,0
35453091,0
35346972,1
35369596,0
35448671,0
35427993,0
35286235,0
35352250,0
35250142,0
35300890,0
35452796,0
35447479,0
35238583,1
35294591,0
35401673,1
35346463,1
35396559,0
35324862,1
35325612,0
35454290,0
35391635,0
35335018,0
35331896,0
35379459,0
35434167,0
35361825,0
35337242,0
35427666,0
35307738,0
35450719,1
35256121,1
35248887,1
35281838,0
35242464,0
35193006,0
35280590,0
35447249,0
35284917,0
35285715,0
35446746,1
35451516,0
35453176,0
35446841,0
35369840,0
35422847,1
35347440,0
35265999,0
35413103,0
35362202,0
35318385,1
35332227,0
35433046,0
35239467,0
35355225,0
35379466,0
35359744,1
35456882,0
35300540,0
35202171,0
35209806,1
35304331,0
35282905,1
35279213,0
35437469,0
35230546,0
35301961,0
35304629,1
35379460,0
35403911,0
35436852,1
35281842,0
35363779,0
35361830,0
35328088,0
35359668,0
35338370,0
35245764,0
35318070,0
35285688,1
35286911,1
35307184,0
35221059,0
35218992,0
35216085,0
35304289,0
35448653,1
35427916,0
35383222,0
35451781,0
35352252,1
35301378,0
35214793,0
35358837,0
35396568,1
35308836,0
35285243,0
35392112,0
35261542,0
35327098,0
35456104,0
35328663,0
35307176,0
35239048,0
35213667,0
35379456,0
35456078,0
35255804,0
35346467,0
35222192,1
35327670,0
35347868,0
35413450,0
35458653,0
35213644,1
35268150,0
35244319,0
35366068,0
35342200,1
35197999,1
35314179,0
35268066,1
35272721,0
35323100,0
